en,bn
commandhin,কমান্ডহীন
trinetror,ত্রিনেত্রর
nimei,নীমেই
The growth a,বৃদ্ধিটা
Fanatic,ফ্যানাটিক
Swairatantrik,স্বৈরতান্ত্রিক
Moumachhi,মৌমাছি
Ashwastoi,আশ্বস্তই
Bollone,বললনে
Singla,সিংলা
Blna,ব্লাঁ
Poreche,প়ড়েছে
Chomotkar,চমত্‌কার
Kuno,কুনো
Meseg,মেসেজে
Kayemer,কায়েমের
Fultola,ফুলতলা
Ghaiyo,ঘাইও
Modigolite,মোদীগলিতে
Durgake,দুর্গাকে
Atto,আত্ম
Dostidarer,দস্তিদারের
Songhotidiboser,সংহতিদিবসের
Gorkori,গড়কড়ি
Sotichhodei,সতীচ্ছদেই
Generation,জেনারেশন
Nirapottahinotar,নিরাপত্তহীনতার
Clutch,ক্লাচ
Ya,য়া
Du lokhyo,২লক্ষ
Poripokkotar,পরিপক্কতার
Durbolota,দূর্বলতা
Sobdobondhonti,শব্দবন্ধনীটি
Blatar,ব্লাটার
Poddhotikei,পদ্ধতিকেই
Binayak,বিনায়ক
Pallay,পাল্লায়
Sater,সাটের
Railprotimontri,রেলপ্রতিমন্ত্রী
Cameraguli,ক্যামেরাগুলি
Loto,লত
Nindok,নিন্দক
Presas,প্রেশাস
Unnoyonkhate,উন্নয়নখাতে
Trinomool,তৃণমলূ
Soshashoner,স্বশাসনের
Tanker,ট্যাঙ্কার
Shtorio,স্তরীয়
Seshpate,শেষপাতে
Futoy,ফুটোয়
Tenant,টেন্যান্ট
Opolap,অপলাপ
Prague,প্রাগ
Opekhyay,অপেক্ষায়…
Bujhiteo,বুঝিতেও
Mukhopadhyay,মুখোপাধ্য়ায়—
Julian,জুলিয়ান
Nusortora,নুসরতরা
Kortarai,কর্তারাই
Prantorei,প্রান্তরও
Margineo,মার্জিনও
Dekechen,ডেকেছেন
sochibaloyo,সচিবালয়ও
doli,ডলি
satanno,সাতান্ন
porikolpitovabei,পরিকল্পিতভাবেই
1799,১৭৯৯
shontanhara,সন্তানহারা
কোটি,COTI
Shona,শোনা
Jhaap,ঝাপ
Pahar Churay,পাহাড়চূড়ায়
Dolgulite,দলগুলিতে
Gokule,গোকুলে
Poridorshone,পরিদর্শনে
Brandon,ব্র্যান্ডন
Pocketer,পকেটের
Clientra,ক্লায়েন্টরা
Byanger,ব্যাঙের
Jongoltai,জঙ্গলটাই
Choinik,চৈনিক
Natiputider,নাতিপুতিদের
Chatguloi,চ্যাটগুলোই
Duike,দুইকে
Mentor,মেন্টর
Nightse,নাইট্‌সএ
Swimweargulo,সুইমওয়্যারগুলোর
Thamben,থামবেন
RTO,আরটিও
Saloon,সেলুন
Keeper,কিপার
Khotosthaan,ক্ষতস্থান
Tindiner,তিনদিনের
Jugeo,যুগেও
Shondhi,সন্ধি
Thakbena,থাকবেনা
Sholoi,ষোলই
khosra,খস়ড়া
kone,কনে
habul,হাবুল
bodmejaji,বদমেজাজি
natore,নাটোর
rute,রুটে
1993,১৯৯৩
har,হার
Kohli,KOHLI
Ogobhir,অগভীর
stholjuddho,স্থলযুদ্ধ
,অণ্ডালে
in place,স্থানেই
pabuk,পাবুক
khanar,খানার
vumihin,ভূমিহীন
kheyeo,খেয়েও
seshbelar,শেষবেলার
rosikota,রসিকতা
1995,১৯৫৫
nipulbabu,নিপুলবাবু
,বাধ্যতামূলক—
biswashi,বিশ্বাসী
lana,লানা
vasha,ভাসা
talikate,তালিকাতে
onnannobar,অন্যান্যবার
royechey,রয়েছে…”
sohokormirai,সহকর্মীরাই
kisike,কিসিকে
shoumojit,সৌমজিত্
BMI,বিএমআই
world,জগত
,চৈতালিকে
,নিজেরও
34234234,মঞ্চেরও
,চিকিত্‍করা
,ঠান্ডার
,জবাই
,শিবতলায়
sdads,বাথরোব
sdasdsd,মেহনতি
sfasfsf,নোটাতঙ্কে
sdasd,ক্যাবিনেটসচিবকে
sdasd,চিকিত্‍সা
hello,কুক্ষিগত
,বাছাড়পাড়ায়
,বিস্ফোরণের
,হয়েছে—টাকা
,ফুরসৎ
,কৃপাচার্য
,বিমুদ্রা
,আইএর
,বাণিজ্যমেলার
,আস্থাভোট
,উপলক্ষ্যেই
,ঝাড়িটা
,জানিয়েদিলেন
,ওশানে
,এটিএমের
,ছুঁয়েছিলাম
,লেপার্ড
,সুইনহো
,এমডিএস
Chirang,চিরাং
upantobashi,উপান্তবাসী
bochortai,বছরটাই
Shayke,শায়কে
Tanar,টানার
Boyojoyshtho,বয়ঃজ‍্যেষ্ঠ
nitibodh,নীতিবোধ
ongsho,অংশ—
americar,অামেরিকার
bara,পর্বতারোহী
bara,সমাজবিরোধীদেরও
sheme,ভ্যালিদাই
bajar,জীবনদর্শনের
hello,ক্যান্টনমেন্টের
sentance,বাক্যটা
authority,অথোরিটি
ivaluation,ইভ্যাকুয়েশন
gor,গড়
finals,ফাইনালস
kathuriay,কাঠুরিয়ায়
ulte,উলটে
James er,জেমসের
gonge,গঙ্গে
brishtir,বৃষ্টির
emergency,এমারজেন্সি
nobonirmito,নবনির্মিত
porimanke,পরিমাণকে
namibiyake,নামিবিয়াকে
sobujdipke,সবুজদ্বীপকে
Satash,সাতাশ
Stoper,স্টপার
Kriketerero,ক্রিকেটারেরও
Otithiporayon,অতিথিপরায়ণ
Rakhdhak,রাখঢাক
Dadoshite,দ্বাদশীতে
Moheshe,মহেশই
Dheu,ঢেউ
Aware,আওয়ারে
Shosha,শসা
panpatro,পানপাত্র
dottobad,দত্তবাদ
Jewel,আদ্যাপীঠে
Somon,সমন
Farha,ফারহা
rumani,রুমানি
Grihosthalir,গৃহস্থালীর
Praoschitto,প্রায়শ্চিত্ত
Hoeche,হয়েছে—
Sourav,সৌরভ
Army,আর্মি
Besirvager,বেশিরভাগের
merudonda,মেরুদণ্ড
rokteo,রক্তেও
punorudharer,পুনরুদ্ধারের
inbox,ইনবক্স
Home task,হোমটাস্ক
shongskoron e,সংস্করণই
moshkorao,মশকরাও
aakben,আঁকবেন
rojgaar,রোজগার
cholaier,চোলাইএর
dagubati,দাগগুবাতি
Kobita,পড়ুুন—
Kobita,টিসকা
prokashok,প্রকাশও
bajar,বিক্ষোভে
Market,ক্যাশব্যাক
debol,দেবল
pete,পেটে
attodaner,আত্মদানের
tohobilo,তহবিলও
nilangshi,নীলাংশি
kelkarer,কেলকারের
dal,দাল
totor,টোটোর
heveh,নেভেহ্‌
canadatei,কানাডাতেই
avoid,অ্যাভয়েড
tint,টিন্ট
mishbe,মিশবে
festivaler,ফেস্টিভ্যালএর
polardo,পোলার্ডও
yerwara,ইয়েরওয়াড়া
matten,মাততেন
koshakoshite,কষাকষিতে
manobsomaje,মানবসমাজে
gutikotok,গুটিকতক
tabur,তাঁবুর
okolponiyo,অকল্পনীয়
nondoram,নন্দরাম
INDIA,INDIA
heaven ,হেভেন
promilara,প্রমীলারা
shatpolsa,ষাটপলসা
nachmohol,নাচমহল
joriyeche,জড়িয়েছে
sthaniyo,স্থানীয়
choshor,ছশোর
chelepilerai,ছেলেপিলেরাই
atate,আঁতাতে
kriketarderr,ক্রিকেটারদেরর
shirshonetaraw,শীর্ষনেতারাও
durdanto,দু্র্দান্ত
harself,হারসেল্ফ
komishonareteo,কমিশনারেটেও
mathi,মাঠই
moulobadishoktir,মৌলবাদিশক্তির
pornokutiri,পর্ণকুটিরই
suc,সুচ
wiketkiparder,উইকেটকিপারদের
penka,পেনকা
golpark,গোলপার্ক
session ,সেশন
obyabhit,অব্যবহিত
siyak,শিয়াকে
,ঘেঁসে
bajaridher ,বাজারিদের
nagendra ,নগেন্দ্রের
angule,আঙুলই
uluberia tei,উলুবেড়িয়াতেই
madras,মাদ্রাস
hon,হন
pyad,याद
sthanoi,স্থানই
chaki,চাকি
upl,এওপিএল
haber,হাবের
,সাঁজো
bondobostota,বন্দোবস্তটা
aninda da,অনিন্দ্যদা
bigyane,বিজ্ঞানকে
mohit,মোহিত
khokababu,খোকাবাবু
chereni,ছেড়েনি
luntito,লুন্ঠিত
kirtikeo,কীর্তিকেও
809,৮০৯
porosudin,পরশুদিন
khojte,খঁজতে
chingri,চিংড়ি
sorlei,সরলেই
itipurbeo,ইতিপূর্বেও
chulke,চুলকে
odhikotor,অধিকতর
52198,৫৩১৯৮
krishok,কৃষক
tepantor,তিপ্পান্নর
skype,স্কাইপ
innings,ইনিংশ
olypub,অলিপাব
backfoot,ব্যকফুটে
jonbirodhi,জনবিরোধী
onnake,অন্নাকে
chitrobani,চিত্রবাণী
sopno puron,স্বপ্নপূরণ
ortho sahajjo,অর্থসাহায্য
krishika,ক়ৃষিকা
Homemade,হোমমেড
Tunneling,টানেলিং
lassye,লাস্যে
300 foot,৩০০ফুট
hature,হাতুড়ে
obotoronke,অবতরণকে
jolodharatite,জলাধারটিতে
charano,ছাড়ানো
panesoroke,পানেসরকে
einsteinder,আইনস্টাইনদের
mujibkonnyan,মুজিবকন্যান
chokranter,চক্রান্তের
adorshe,আদর্শে
lokbohon,লোকবহন
Haran ni ,হারাননি
Joydeber,জয়দেবের
Patent er ,পেটেন্টের
Namghore,নামঘরে
Biswajit ke ,বিশ্বজিতকে
Bhibhan ,ভিভান
Chargesheet er ,চার্জশিটেরর
Monidutor,মণিদুটোর
Duarter,ডুয়ার্টের
Sposhtobhashay,স্পষ্টভাষায়
Obhiggo,অভিজ্ঞ়
Jonmodingulo,জন্মদিনগুলো
